mainshock_name,mainshock_time,mainshock_magnitude,aftershock_time,aftershock_magnitude,aftershock_place,aftershock_latitude,aftershock_longitude
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-02 22:41:20.321,4.7,"16 km NE of Barcelona, Philippines",8.2765,126.5273
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-02 22:43:39.695,4.5,"24 km E of Hinatuan, Philippines",8.3799,126.5588
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-02 22:45:19.891,4.9,"55 km ENE of Hinatuan, Philippines",8.533,126.8083
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-02 22:46:17.669,4.7,"27 km NE of Barcelona, Philippines",8.3473,126.6005
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-02 22:48:45.552,4.4,"45 km ENE of Hinatuan, Philippines",8.4622,126.7379
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-02 23:04:56.398,4.1,"28 km NE of Barcelona, Philippines",8.3262,126.6324
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-02 23:19:52.603,4.6,"34 km ENE of Barcelona, Philippines",8.2707,126.725
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-02 23:24:25.021,4.5,"50 km NE of Barcelona, Philippines",8.4343,126.803
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-02 23:45:20.880,4.8,"39 km ENE of Hinatuan, Philippines",8.5725,126.6356
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-02 23:50:11.895,4.0,"6 km E of Hinatuan, Philippines",8.3745,126.3916
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-02 23:52:03.502,4.1,"65 km E of Marihatag, Philippines",8.6935,126.8778
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-02 23:54:00.445,4.1,"51 km NE of Barcelona, Philippines",8.4178,126.8213
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-02 23:55:09.013,4.3,"39 km ENE of Hinatuan, Philippines",8.448,126.6827
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 00:11:48.672,4.5,"31 km ENE of Barcelona, Philippines",8.2471,126.7031
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 00:24:31.136,4.4,"42 km NE of Barcelona, Philippines",8.4057,126.7293
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 00:43:03.666,4.2,"60 km ENE of Hinatuan, Philippines",8.6212,126.824
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 00:44:01.199,4.2,"46 km ENE of Hinatuan, Philippines",8.5017,126.7354
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 00:46:19.733,4.6,"45 km ESE of Marihatag, Philippines",8.6753,126.6844
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 00:48:25.369,4.9,"19 km E of Hinatuan, Philippines",8.399,126.5081
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 01:03:28.202,4.5,"48 km ENE of Hinatuan, Philippines",8.4877,126.7633
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 01:16:06.794,4.7,"62 km ENE of Barcelona, Philippines",8.4368,126.9279
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 01:43:30.421,4.5,"22 km ENE of Tidman, Philippines",8.3396,126.5379
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 02:02:00.455,4.4,"34 km E of Hinatuan, Philippines",8.402,126.646
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 02:02:37.910,5.3,"60 km ENE of Hinatuan, Philippines",8.5953,126.8367
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 02:21:20.379,4.5,"42 km ENE of Hinatuan, Philippines",8.4553,126.7141
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 02:31:59.854,4.7,"33 km ENE of Hinatuan, Philippines",8.4889,126.6183
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 02:35:27.735,4.4,"15 km E of Gamut, Philippines",8.5163,126.3824
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 02:36:42.587,4.6,"58 km ENE of Barcelona, Philippines",8.35,126.9319
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 02:42:55.650,4.5,"21 km ENE of Tidman, Philippines",8.3433,126.5249
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 02:47:51.875,4.4,"33 km E of Hinatuan, Philippines",8.4195,126.6322
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 02:53:24.069,4.5,"21 km E of Santa Maria, Philippines",8.024,126.6335
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 02:58:17.209,4.5,"43 km ESE of Marihatag, Philippines",8.6384,126.6521
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 03:02:13.180,4.5,"18 km E of Loyola, Philippines",8.3502,126.4984
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 03:18:00.286,4.4,"3 km NNE of Bigaan, Philippines",8.3428,126.2974
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 03:23:58.506,4.4,"6 km SE of Salvacion, Philippines",8.6725,126.2482
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 03:24:54.138,4.9,"39 km NE of Hinatuan, Philippines",8.5791,126.625
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 03:28:17.758,5.1,"36 km ENE of Santa Maria, Philippines",8.0774,126.7675
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 03:36:24.591,5.2,"45 km ENE of Barcelona, Philippines",8.352,126.8035
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 03:40:12.759,4.7,"27 km ENE of Santa Maria, Philippines",8.0613,126.6821
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 03:41:59.249,4.6,"52 km ENE of Barcelona, Philippines",8.3995,126.8415
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 03:42:50.690,4.5,"21 km ENE of Santa Maria, Philippines",8.0378,126.6351
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 03:43:39.077,4.5,"11 km ESE of Barcelona, Philippines",8.1042,126.5185
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 03:55:41.926,4.9,"58 km ENE of Barcelona, Philippines",8.3697,126.9227
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 04:20:59.388,4.3,"54 km ENE of Barcelona, Philippines",8.3512,126.8881
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 04:24:17.316,4.6,"16 km SE of Marihatag, Philippines",8.6946,126.4013
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 04:34:15.990,4.4,"30 km ENE of Hinatuan, Philippines",8.4518,126.5958
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 04:35:37.470,4.4,"49 km NE of Barcelona, Philippines",8.4304,126.7859
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 04:40:35.222,4.7,"50 km ENE of Barcelona, Philippines",8.2518,126.8803
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 04:41:51.720,5.2,"40 km ENE of Barcelona, Philippines",8.3166,126.7681
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 04:54:28.773,4.5,"17 km NE of Barcelona, Philippines",8.2886,126.5324
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 04:59:15.550,5.1,"20 km SE of Marihatag, Philippines",8.6742,126.4283
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 05:27:55.800,4.9,"70 km ENE of Hinatuan, Philippines",8.6231,126.9188
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 05:38:11.750,4.7,"50 km ENE of Hinatuan, Philippines",8.5032,126.7688
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 05:43:43.134,5.4,"44 km ESE of Marihatag, Philippines",8.6422,126.6671
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 05:47:53.126,4.8,"62 km ENE of Hinatuan, Philippines",8.5965,126.8521
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 05:50:23.806,4.9,"23 km E of Barcelona, Philippines",8.1804,126.646
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 05:57:24.266,4.5,"16 km E of Barcelona, Philippines",8.1323,126.5855
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 06:03:39.228,4.3,"41 km ENE of Hinatuan, Philippines",8.4466,126.7081
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 06:10:51.067,4.5,"25 km E of Barcelona, Philippines",8.1929,126.6606
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 06:18:22.337,4.7,"31 km E of Hinatuan, Philippines",8.4159,126.6195
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 06:26:55.990,4.2,"12 km NNE of Barcelona, Philippines",8.2604,126.4771
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 06:37:14.051,4.5,"49 km ENE of Hinatuan, Philippines",8.5113,126.7591
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 06:44:43.205,4.5,"47 km ENE of Hinatuan, Philippines",8.474,126.749
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 06:47:15.234,4.0,"8 km E of Tidman, Philippines",8.306,126.4138
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 06:55:38.828,4.5,"39 km ENE of Barcelona, Philippines",8.2875,126.7717
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 07:01:06.797,4.3,"27 km E of Hinatuan, Philippines",8.3926,126.5843
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 07:04:10.610,4.3,"74 km ENE of Barcelona, Philippines",8.4699,127.0292
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 07:04:47.178,4.6,"37 km ESE of Marihatag, Philippines",8.6661,126.606
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 07:11:00.066,4.8,"63 km E of Marihatag, Philippines",8.7346,126.8671
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 07:44:23.246,4.7,"35 km NE of Barcelona, Philippines",8.3833,126.6702
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 07:54:05.453,4.2,"35 km ENE of Hinatuan, Philippines",8.4532,126.6445
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 07:54:52.450,4.9,"66 km ENE of Barcelona, Philippines",8.4707,126.9542
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 08:10:55.349,4.4,"33 km NE of Barcelona, Philippines",8.3276,126.6845
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 08:12:53.539,4.4,"26 km NE of Barcelona, Philippines",8.3249,126.6118
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 08:13:39.243,4.6,"60 km ESE of Marihatag, Philippines",8.6847,126.8286
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 08:18:20.171,4.4,"44 km ENE of Hinatuan, Philippines",8.5029,126.7193
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 08:31:21.035,4.5,"23 km E of Barcelona, Philippines",8.1579,126.6471
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 08:36:26.527,4.7,"28 km ENE of Santa Maria, Philippines",8.0872,126.6896
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 08:41:38.851,4.5,"43 km NE of Barcelona, Philippines",8.3924,126.7505
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 08:41:55.724,4.9,"37 km NE of Barcelona, Philippines",8.3892,126.6878
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 08:57:59.561,4.5,"50 km ENE of Barcelona, Philippines",8.2729,126.881
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 09:02:37.618,4.1,"26 km ENE of Barcelona, Philippines",8.2651,126.6534
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 09:03:39.627,5.1,"52 km ENE of Barcelona, Philippines",8.403,126.8476
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 09:05:52.958,4.4,"37 km E of Barcelona, Philippines",8.2105,126.7674
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 09:07:47.274,4.2,"40 km ENE of Hinatuan, Philippines",8.5262,126.6632
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 09:12:09.191,4.5,"59 km ENE of Barcelona, Philippines",8.4466,126.8908
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 09:19:58.330,4.6,"38 km NE of Barcelona, Philippines",8.3731,126.7146
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 09:22:45.332,4.2,"6 km N of Hinatuan, Philippines",8.4343,126.3347
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 09:37:14.442,4.7,"52 km ENE of Barcelona, Philippines",8.4004,126.8489
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 09:42:31.932,4.4,"70 km NE of Barcelona, Philippines",8.5172,126.9678
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 09:45:36.849,5.0,"48 km ESE of Marihatag, Philippines",8.7017,126.7225
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 09:48:47.433,4.9,"55 km ENE of Hinatuan, Philippines",8.5007,126.8224
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 09:55:44.966,4.6,"48 km ENE of Hinatuan, Philippines",8.5072,126.7495
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 10:00:04.901,4.6,"49 km ENE of Hinatuan, Philippines",8.4948,126.7657
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 10:10:43.006,4.2,"36 km NE of Barcelona, Philippines",8.3563,126.7052
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 10:17:26.640,4.8,"53 km ENE of Hinatuan, Philippines",8.4718,126.8103
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 10:22:06.926,4.6,"46 km ENE of Hinatuan, Philippines",8.4956,126.7356
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 10:27:56.714,4.4,"13 km ESE of Gamut, Philippines",8.5029,126.3646
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 10:35:52.871,6.6,"47 km ENE of Hinatuan, Philippines",8.488,126.7454
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 10:39:23.796,5.7,"37 km ENE of Hinatuan, Philippines",8.5597,126.6174
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 10:45:47.907,4.5,"8 km SSW of Salvacion, Philippines",8.6436,126.1848
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 10:46:45.558,4.8,"27 km ENE of Hinatuan, Philippines",8.5099,126.5423
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 10:49:40.141,4.6,"54 km ENE of Hinatuan, Philippines",8.5477,126.8014
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 10:51:42.198,4.4,"23 km E of Hinatuan, Philippines",8.3758,126.5445
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 10:54:55.054,5.6,"61 km ENE of Hinatuan, Philippines",8.5622,126.862
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 11:00:29.105,5.0,"31 km ESE of Marihatag, Philippines",8.6963,126.5575
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 11:01:22.580,4.6,"14 km ESE of Salvacion, Philippines",8.6452,126.3184
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 11:03:08.996,4.5,"52 km ENE of Hinatuan, Philippines",8.5882,126.7552
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 11:04:55.848,4.5,"25 km E of Marihatag, Philippines",8.7891,126.5242
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 11:07:52.319,4.6,"64 km ENE of Hinatuan, Philippines",8.5748,126.8872
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 11:08:54.709,4.2,"38 km ESE of Marihatag, Philippines",8.6676,126.6196
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 11:09:16.935,4.4,"67 km ENE of Hinatuan, Philippines",8.552,126.9245
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 11:11:27.068,4.3,"38 km ENE of Hinatuan, Philippines",8.5376,126.6422
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 11:19:42.414,4.4,"28 km E of Marihatag, Philippines",8.7652,126.5561
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 11:20:45.102,4.4,"51 km ENE of Hinatuan, Philippines",8.5588,126.7579
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 11:23:42.342,4.3,"42 km ESE of Marihatag, Philippines",8.6244,126.6394
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 11:31:09.120,4.9,"69 km ENE of Hinatuan, Philippines",8.5428,126.9388
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 11:40:47.810,4.5,"51 km NE of Barcelona, Philippines",8.4474,126.8046
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 11:53:44.757,4.7,"42 km NE of Barcelona, Philippines",8.3849,126.7457
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 11:56:38.222,4.2,"31 km ENE of Hinatuan, Philippines",8.4828,126.5946
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 11:57:59.989,4.3,"56 km ENE of Hinatuan, Philippines",8.5352,126.8199
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 12:13:46.996,4.6,"56 km ENE of Hinatuan, Philippines",8.5042,126.8304
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 12:28:35.198,4.8,"63 km ENE of Barcelona, Philippines",8.4558,126.932
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 12:29:32.384,4.4,"51 km NE of Barcelona, Philippines",8.4205,126.8239
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 12:37:11.161,4.3,"77 km ENE of Hinatuan, Philippines",8.6449,126.9844
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 12:39:06.935,4.3,"41 km NE of Barcelona, Philippines",8.3741,126.7408
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 12:44:48.871,5.2,"52 km ENE of Hinatuan, Philippines",8.4676,126.805
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 12:47:26.181,4.2,"54 km ENE of Hinatuan, Philippines",8.5487,126.7992
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 12:55:10.484,4.1,"71 km ENE of Hinatuan, Philippines",8.5387,126.9635
"Hinatuan, Surigao Del Sur",2023-12-02 22:37:05,7.4,2023-12-03 12:58:18.124,4.3,"38 km E of Santa Maria, Philippines",8.0486,126.7876
